pair_index,semantic_validation_passed,raw_id_A,raw_id_B,raw_ids_different,canonical_id_A,canonical_id_B,canonical_ids_equal,raw_size_A,raw_size_B,canonical_size_A,canonical_size_B
10,True,sha256:38d755d49c9c71e5248a86f2472d0e2c44073f766330877f9a0ec2624e69ac1b,sha256:913f262833785af6cdb510eefff9f06b58143319341c4c54d20338afc0885427,True,sha256:8ace860ec0cf2272735fa599358953469ab5dcfb033fa9c2899ffe5278ea8bb6,sha256:8ace860ec0cf2272735fa599358953469ab5dcfb033fa9c2899ffe5278ea8bb6,True,2511,2992,2512,2512
11,True,sha256:bce726278cd17a50e6d05d3a750299a964fd4870f810b8cb213beb7d0cd511b8,sha256:abbb07c0b1383b20885f1dbb4aa5cd11ec61dadbfcac2e9bf60fb5259b12eda9,True,sha256:affbf3d938c166754e211475ce81d186bc5d4c947855d658ae4b2098ace25008,sha256:affbf3d938c166754e211475ce81d186bc5d4c947855d658ae4b2098ace25008,True,3372,2511,2512,2512
12,True,sha256:0f53606e40e9d8919c6f2d8200143af36bacc9f0b711df928fb3459fc674019f,sha256:988284139e6b9d68ae9a95c9ebeb16c173c04d58af36caaab78dfc40949ea367,True,sha256:a21d6d8740f051a0591e2e9f98ea318434b2cc331b02b0dffcd7763d9e09faa0,sha256:a21d6d8740f051a0591e2e9f98ea318434b2cc331b02b0dffcd7763d9e09faa0,True,2511,2992,2512,2512
13,True,sha256:342e62425f8cbaaa0c5f817b0da7455104f77bd9c470135b2a94e9dff9f3ef23,sha256:c521298f81952b89a5a5d12c356af074564486cbb5db290cadfb96353162082f,True,sha256:16f2ccfcd9ba25880c47cad6a722a65cca0e8c7ae7104fbd550f604d84f41aa1,sha256:16f2ccfcd9ba25880c47cad6a722a65cca0e8c7ae7104fbd550f604d84f41aa1,True,2511,3372,2512,2512
14,True,sha256:9b5d8ccfb0a040c150e7ca7a68cd630aa03610440813bf57b8e0fabb4dd48885,sha256:e9fe43b7e9d27c22679cab0b32555c1004b9a233ba37d9ec1625536ef92a80a9,True,sha256:14cecd59079fd6ae97af096345af17d395b02ee99b8d301dd567c14d2507bb8d,sha256:14cecd59079fd6ae97af096345af17d395b02ee99b8d301dd567c14d2507bb8d,True,2992,2511,2512,2512
15,True,sha256:2b37a1dd58f053fa86dea1be00770609a6f5e12573a4a9af9199f670b5465b0d,sha256:70e5d68cc1e3c16fcccf49684d1d9aa8c7dc0a41e7ee9d06db4e4e3096e53754,True,sha256:f88525729ef4b73453d150b86e62b2fcfd45ffbfbd2ec39c0f47936b8be80570,sha256:f88525729ef4b73453d150b86e62b2fcfd45ffbfbd2ec39c0f47936b8be80570,True,2992,2511,2512,2512
16,True,sha256:d3c9ba969cf3609449230d7f64f8fdc956d218d765d32a56247b2a3b0da54257,sha256:7a6c5fec5d6d76367ec9669778f7fe2b8ac96920fe2a022eceaf6d7547b44187,True,sha256:99c8ee28195a3cc60a0b3cf1eff1381cb1a1c571bdc914dca19c909f09dc3fe0,sha256:99c8ee28195a3cc60a0b3cf1eff1381cb1a1c571bdc914dca19c909f09dc3fe0,True,2992,2511,2512,2512
17,True,sha256:c23162775dc62f7a4cbfc4b0035bbde73703674bd0560cf0fba84ad3b921c5eb,sha256:52994ce0a007d861a07cf0c73718481ca6b2b82e26dcbb3c133f817357033eff,True,sha256:7ef28b76f6dc6da3c940c77ee2d6c2f46788c3c4b2bbd9f548df7627f28ef145,sha256:7ef28b76f6dc6da3c940c77ee2d6c2f46788c3c4b2bbd9f548df7627f28ef145,True,3372,2511,2512,2512
18,True,sha256:ec00dab5a8aae77ec140caea76c1199ab021662bf7a45e683387b198ec681291,sha256:c5c625439213a1aded2957264bfa173474aeaa5949a9402ed0e8e0b18c1c3bee,True,sha256:027f0929cffc2ece2b00602048f44bfd084c425f96cb63c94338a40364972212,sha256:027f0929cffc2ece2b00602048f44bfd084c425f96cb63c94338a40364972212,True,2512,3373,2513,2513
19,True,sha256:2f255b4b408f5605d17cb9bc98e3e88ced65f4e146af2f00801eddda2186bd40,sha256:601e52ff7af2174a8afd1da70a6e0d84dcbff1914af3d07a5612e19ba512cc18,True,sha256:0a1cc555e00d700ddc3979b815c785c1626e63ecf2816d9f12a651f418230f41,sha256:0a1cc555e00d700ddc3979b815c785c1626e63ecf2816d9f12a651f418230f41,True,2512,3373,2513,2513
20,True,sha256:058f4ee6c133a79e8f62f7e3d1673efec91513612df9a9b79128bef4645ba954,sha256:6e49d9ed8208f5a9a424cf2a78184786c2f7da82496bd69d6cee90591fc3877d,True,sha256:b73d79ef4081c0f63bee10a7590bd09a7d4b4083fda7b06473313bf4f22a10af,sha256:b73d79ef4081c0f63bee10a7590bd09a7d4b4083fda7b06473313bf4f22a10af,True,2512,3373,2513,2513
21,True,sha256:aa42511bb78907135d4cae376633358bff733243abdee2fef755d92047a85297,sha256:ca9e288914aa8925353bcdd72d7af7a622e0b805ee121d213f477c43baa7adb1,True,sha256:102c6033dfb9fbf69870d44535c38ee28b37acb991d0350cf6d39f6331dd5f26,sha256:102c6033dfb9fbf69870d44535c38ee28b37acb991d0350cf6d39f6331dd5f26,True,2993,2512,2513,2513
22,True,sha256:7241f0e78537df012a6b44955e7475fbea65dc7c4eb65cadd8be70ceb6d28ebb,sha256:2a6dba9ce8d5c20a083efb4a1a9d8039c8faf9edf611052725407ce0485e1a84,True,sha256:efeda44efbf456ce2432071b2202327e9bd9da11c496d070c72966b6ac368a48,sha256:efeda44efbf456ce2432071b2202327e9bd9da11c496d070c72966b6ac368a48,True,3373,2512,2513,2513
23,True,sha256:84743418bde7fbdbf3e36b7143fb08f7188a54c3b3bf745c1365ac3a3bfe1977,sha256:ff4692a185f122e3668a17d38f73fbf62cf0bf3c78027229b1bd14156079691c,True,sha256:fce75d24dead2e8e3d8f59b734723ffc8cbc4a9d5b19057b313c909724a3b171,sha256:fce75d24dead2e8e3d8f59b734723ffc8cbc4a9d5b19057b313c909724a3b171,True,3373,2512,2513,2513
24,True,sha256:b9e1f21a6d16ba96201a3c1b3ca87f151be3b6afd3b053981dd0bd334bdf9024,sha256:592b427d05aef96d3df24dadc7a596093ea1920ba244c0fba44e278ccbb240fb,True,sha256:a5e96a777b4448dc3674bedb60737286b162fc5bbdf71db297d497b35bb35f07,sha256:a5e96a777b4448dc3674bedb60737286b162fc5bbdf71db297d497b35bb35f07,True,2993,2512,2513,2513
25,True,sha256:12d6378c43d7ca93a0c29c1a8d6833ad8a2f1cebde76578262b730096a3e1e16,sha256:0109b8143d24fce815da5e0205b619c7b517072b62a3deb8967775e0626ca657,True,sha256:03ed86b89d171a665e99b12a1035a120c2eb3230ab46727a3f1b8d4ffbcee8f4,sha256:03ed86b89d171a665e99b12a1035a120c2eb3230ab46727a3f1b8d4ffbcee8f4,True,2512,3373,2513,2513
26,True,sha256:97ae27196029c5b7e15a6515338b7670ac4a7735fb8d53282f84616d8de2586a,sha256:e83eda3af2f0b075c0dd451680188b0e26f5ee02b28e4265c1625c0daba00ab9,True,sha256:d92e898da0a08081743aeeafdf93504d5ee13994291e6eccb01b4362cda77be2,sha256:d92e898da0a08081743aeeafdf93504d5ee13994291e6eccb01b4362cda77be2,True,2512,3373,2513,2513
27,True,sha256:0766838b90c3bea4133e9421eb43437316c0f30be60b49058a39a5c46926f547,sha256:84ee8138a454892666ce43f203f467fc4d7a1bcc76b489523e15c6b952cbe979,True,sha256:1b3bb33107ae10fffc468c74083d1eff803ba7e6a82f27850885516a1ab6f483,sha256:1b3bb33107ae10fffc468c74083d1eff803ba7e6a82f27850885516a1ab6f483,True,2993,2512,2513,2513
28,True,sha256:1725c45a9fc0d02d2645ea39949fcdeece70cdb9ff8e0f99d84a59597a202fb3,sha256:3449516003685fcf4dd1cc953729a0c6fac6ac4ace9520c4d657769f2863401a,True,sha256:3ddd83b4af0c6b164134fb448d724886b6abee5147545611318db011467e8514,sha256:3ddd83b4af0c6b164134fb448d724886b6abee5147545611318db011467e8514,True,3373,2512,2513,2513
29,True,sha256:e000aca0c7b062ee3c7a9a7a6ca96032a77d73243432d2c75db9af86eb933789,sha256:fcca721606cf6501b3b6f640ae4c5a7cda7ee8ae5bf5e599966240cc4c7fbc30,True,sha256:868426a5faf22a8a55c68cb0d6c06486ffacff5f659930e0e5786f6249527959,sha256:868426a5faf22a8a55c68cb0d6c06486ffacff5f659930e0e5786f6249527959,True,2512,3373,2513,2513
30,True,sha256:393c22c3c6c2ae926e2d1a98817c738db962ea99002a6bd05b8a518081141583,sha256:31b9fbaa55c3fe633181c043417ebd38d190846902f9a1c87ff08053c52630f1,True,sha256:2470ff6b87fe51ec1fd336d6f71dbfc5100306b5f11496a74e258d64a84f1bc6,sha256:2470ff6b87fe51ec1fd336d6f71dbfc5100306b5f11496a74e258d64a84f1bc6,True,2993,2512,2513,2513
31,True,sha256:676c25788044ce83b881c6330612920badfdea6f30af4d33ef4873db71bbeea4,sha256:d16631c19444d91108a2d56365d498ff5891f851b709609bfc93693aaa7a6d62,True,sha256:69df35fc0354b0179a77797891754b22c8041b4c153c83a42ad379154f6daac9,sha256:69df35fc0354b0179a77797891754b22c8041b4c153c83a42ad379154f6daac9,True,2512,2993,2513,2513
32,True,sha256:14f03cdc587410290aab755a6d34a4092a9e53f1cb280c34cafe38ec2db1e81f,sha256:d3699c967afb3b9fe9bf0c222242af170ea0db8b149752bd541abd612ede57ee,True,sha256:cb8c78e7c13f53231302004030ee3c7110445b4d8e7733f28d54288c9bff0a92,sha256:cb8c78e7c13f53231302004030ee3c7110445b4d8e7733f28d54288c9bff0a92,True,2512,3373,2513,2513
33,True,sha256:271b49a469319c9625e2b61d764e311e934ae67e17634487d2301290467a3533,sha256:ea149392bd2dfd696cf736002d692ffdd5a158faa3585e5749500fc43ca99803,True,sha256:73281cc134ce05cd0d06d20b651f2aa6ac93b2725bfac48aa90164471619a9bb,sha256:73281cc134ce05cd0d06d20b651f2aa6ac93b2725bfac48aa90164471619a9bb,True,2512,2993,2513,2513
34,True,sha256:e39b688016c96036f64bfd77ef45cccacf3799bae59616c5afbf3e3ca96087a5,sha256:1fb9bd6e778b11b684c14b86cf48c3ec439733583346776232ad0e575a819b0d,True,sha256:ff2f63c4b06fec43094f83b2914f6586def2634c2d86cec5d9cc8897ffe05908,sha256:ff2f63c4b06fec43094f83b2914f6586def2634c2d86cec5d9cc8897ffe05908,True,2993,2512,2513,2513
35,True,sha256:e570d1a489d04de2d5254e5a182a3c2181eac5d3c57222d86b1c0d54f16ae34a,sha256:ca898af37555cf8085c8b64c03b98e002aad79712810aa95cf55e83ffd17ab06,True,sha256:0ef97aa4cf89c9a829219e49815e4d479a6af8dc15072ea49d92f3d1a5308fe1,sha256:0ef97aa4cf89c9a829219e49815e4d479a6af8dc15072ea49d92f3d1a5308fe1,True,2993,2512,2513,2513
36,True,sha256:8eecfb029d1a48e1229f48a9c2797651d392053beba578c4545c16ca570d6c35,sha256:6ba0a87fcb25ad6bef1e152d5ab9fee477afba06da4b70c60f8a5e63fd66895b,True,sha256:aac70c080039494cffcefaf736b314800e556dc9cb8a91e151cb6ef2490511f7,sha256:aac70c080039494cffcefaf736b314800e556dc9cb8a91e151cb6ef2490511f7,True,2512,3373,2513,2513
37,True,sha256:cb07ce69ff3738595e4bb56d9e4a6a074d8558aef0598bad76202ec9e2aec473,sha256:3fd2ee88b79ef39ec53914563545524d831295eab20ddb5e2cfb383ada8f75fc,True,sha256:57d2609ce96ab1b2c111888c6f25b6f30478b371960feda470e1a4262e420beb,sha256:57d2609ce96ab1b2c111888c6f25b6f30478b371960feda470e1a4262e420beb,True,2512,3373,2513,2513
38,True,sha256:5496d2ff9828b67f0cb459c823c73db709f414e6fba9fb512b45b237da8ebfc3,sha256:5b4fb7697d4c208d3c91596b62cbeb60c029ed8b1be3f540d7b3a5fa4852a10e,True,sha256:c4084b0babad58ddce3d9389254a2e37200e418f3b051b250a12e48aa42aaa45,sha256:c4084b0babad58ddce3d9389254a2e37200e418f3b051b250a12e48aa42aaa45,True,2993,2512,2513,2513
39,True,sha256:42e4bb6f7eeb1f9444e53b96965c1a915137e1bce83b8f2c371064f0338676fa,sha256:9e30fbf25dc68800ef5b3daa97480191de67fc78af1dd990bb4a55e0804381a2,True,sha256:170b5c85c74674bc2127dfa1c6b49e2a0bb8115dd868a5dd9dbb3a337b87def6,sha256:170b5c85c74674bc2127dfa1c6b49e2a0bb8115dd868a5dd9dbb3a337b87def6,True,2512,2993,2513,2513
40,True,sha256:cf0cceef3ca4abb88e493e155b3f1e5d755fbcfd1d7b1a5c269f58c189e75836,sha256:a41509249848bd7ed3255454709f7868597e22b674a02e0cc5bedb14566ccf86,True,sha256:734b1dcd50019048de468420b8c81c872b78ac3edc92d0f8ca4b15116f43d89a,sha256:734b1dcd50019048de468420b8c81c872b78ac3edc92d0f8ca4b15116f43d89a,True,2512,2993,2513,2513
41,True,sha256:09920513df393d3e4d481a953c5097c58ccd7d2080fb85ff4ac5fc4b3834a7d8,sha256:c6f3f6b4af75bc94b6fcc804362daaeecf32ed49402c81ab19f52ac40448a73f,True,sha256:ab85a0949f6972823b6ce747aad6686bf2bffc564b46ef57e900316d715e04a2,sha256:ab85a0949f6972823b6ce747aad6686bf2bffc564b46ef57e900316d715e04a2,True,2512,2993,2513,2513
42,True,sha256:6fbc5a16d9bf41740733591ebfc1a017cb5c019b57942972bfa5ffc6c166e183,sha256:61d94c590b62d0a8e6f61b3ac21df1c206404944ec198d20f60cf04986a2c811,True,sha256:01c155289cb7f73d9a763e01ab206d848344b340e287f66333aab460cb81a64c,sha256:01c155289cb7f73d9a763e01ab206d848344b340e287f66333aab460cb81a64c,True,2993,2512,2513,2513
43,True,sha256:028b96d02299e475b3d148fddc257e0468aa9f700bd65d5db857afbddf6fd27e,sha256:bf056c71ef00fa56bd3459fc7246dd409a759fece4250b81522e9f2e6cbf38c0,True,sha256:810cfe8fbdeb6dfd919c60379e3a367736e970354d4760c514ef9604faaf004f,sha256:810cfe8fbdeb6dfd919c60379e3a367736e970354d4760c514ef9604faaf004f,True,3373,2512,2513,2513
44,True,sha256:399aec85329642eb6ce9a338341926ef368211b90e2863cdfe0ab40a752f6572,sha256:826a5e4508d212989168e0a75556e18073c278de88954979f2452a4379216f6f,True,sha256:ff93313afc79241fafcb78e7208cc34565e20476f6d3ff3f320bf56d5d803ff5,sha256:ff93313afc79241fafcb78e7208cc34565e20476f6d3ff3f320bf56d5d803ff5,True,2993,2512,2513,2513
45,True,sha256:71aad2a7e1a63c342d080a12f59e115e60f43a7fe15ee37fb1b5e59a7c0f3029,sha256:838b4c636b7e21775d86e70a3cf30153fd12f1586dd69f9869322e1a3e85c5a6,True,sha256:bde65e16a784a8d95d144a2e79a68451022a334bc318ca923eb4a9afa91d098c,sha256:bde65e16a784a8d95d144a2e79a68451022a334bc318ca923eb4a9afa91d098c,True,3373,2512,2513,2513
46,True,sha256:95a3b14466610a7b00ba750312f4548492d2f1788115fa22b51bab4edad9fad7,sha256:6a5e0b0e351ec2018eb7ef19960bf99c1738f83c43bb80b26574b63c550e081b,True,sha256:35e4c8bc6e2681eb31ebfc09eb8ff3d40244f79b7bc548a2c08ca1ab9996d208,sha256:35e4c8bc6e2681eb31ebfc09eb8ff3d40244f79b7bc548a2c08ca1ab9996d208,True,2512,3373,2513,2513
47,True,sha256:a9cd9fe3c8851096867aeb85bb641fb4b6048e67bf8cba045d330d560b9c49fc,sha256:c35939ae58c9571d604423ceacb99c63db1ce6e158dfb8499e3664dd90531924,True,sha256:89b28da2645148807f4c5bba941d3e113cd443cd16665a3841705993fd78daad,sha256:89b28da2645148807f4c5bba941d3e113cd443cd16665a3841705993fd78daad,True,3373,2512,2513,2513
48,True,sha256:744b42d35aeecf4599e664ab034c54c5814bfe70cf2fea85c56a877482f0ea02,sha256:1dd2d675725aff239a83fd1b02f6c0f810702f3cbe0169f1728d0c0c1ecc5d42,True,sha256:029ccda1ab45465c0e6f45bea4a0f94243c7ca9178137b57071f9b8f94e8ae00,sha256:029ccda1ab45465c0e6f45bea4a0f94243c7ca9178137b57071f9b8f94e8ae00,True,2993,2512,2513,2513
49,True,sha256:fc5e478b31cff6c80b0b0a5e9e10699a2621a45d4f94d5b7aad7531ab8be6b62,sha256:412147417d95d2747a29505ba416369ec36baa529bee1802dcd418a1b554bf98,True,sha256:928abc06ac6bf776cd4d7902fa8fd0278f02f006e39fcfb39a531378a0bcd6c3,sha256:928abc06ac6bf776cd4d7902fa8fd0278f02f006e39fcfb39a531378a0bcd6c3,True,3373,2512,2513,2513
