dataset_id,total_order_selected_id,total_order_selected_config,total_order_optimizer_label,total_order_final_estimate,total_order_unique_selected_ids,total_order_estimate_range,total_order_invariant,first_rule_distinct_selected_ids,first_rule_unique_selected_id_count,first_rule_configuration_variation,first_rule_estimate_min,first_rule_estimate_max,first_rule_estimate_range,reported_winner_change,material_estimate_change,different_id_case_count,different_optimizer_case_count,material_estimate_case_count,any_absolute_estimate_change_gt_0,case_count_absolute_estimate_change_gt_0,any_absolute_estimate_change_gt_0_0025,case_count_absolute_estimate_change_gt_0_0025,any_absolute_estimate_change_gt_0_005,case_count_absolute_estimate_change_gt_0_005,any_absolute_estimate_change_gt_0_01,case_count_absolute_estimate_change_gt_0_01
33,3,C03,optimizer-A,0.5505555555555558,1,0.0,True,3|4|9|10,4,True,0.5505555555555558,0.6184999999999997,0.06794444444444392,True,True,19,13,19,True,19,True,19,True,19,True,13
34,4,C04,optimizer-A,0.6066666666666668,1,0.0,True,4|5|10|11,4,True,0.5461944444444444,0.6224444444444449,0.07625000000000048,True,True,20,14,20,True,20,True,20,True,20,True,20
35,0,C00,optimizer-A,0.6248333333333331,1,0.0,True,0|5|6|11,4,True,0.5495277777777776,0.6248333333333331,0.07530555555555551,True,True,19,12,19,True,19,True,19,True,19,True,19
36,0,C00,optimizer-A,0.5533888888888892,1,0.0,True,0|1|6|7,4,True,0.5533888888888892,0.6217222222222224,0.06833333333333325,True,True,18,10,18,True,18,True,18,True,18,True,10
37,1,C01,optimizer-A,0.610527777777778,1,0.0,True,1|2|7|8,4,True,0.5490555555555557,0.6207222222222223,0.07166666666666655,True,True,20,15,20,True,20,True,20,True,20,True,20
38,2,C02,optimizer-A,0.5460555555555557,1,0.0,True,2|3|8|9,4,True,0.5460555555555557,0.6225000000000003,0.07644444444444454,True,True,21,15,21,True,21,True,21,True,21,True,21
39,3,C03,optimizer-A,0.6055000000000004,1,0.0,True,3|4|9|10,4,True,0.5495555555555557,0.6238333333333332,0.07427777777777755,True,True,19,13,19,True,19,True,19,True,19,True,19
40,4,C04,optimizer-A,0.5484722222222225,1,0.0,True,4|5|10|11,4,True,0.5484722222222225,0.6192499999999996,0.07077777777777716,True,True,20,14,20,True,20,True,20,True,20,True,20
41,0,C00,optimizer-A,0.5612500000000004,1,0.0,True,0|5|6|11,4,True,0.5495555555555556,0.6206111111111112,0.07105555555555565,True,True,19,12,19,True,19,True,19,True,19,True,19
42,0,C00,optimizer-A,0.607111111111111,1,0.0,True,0|1|6|7,4,True,0.5476666666666669,0.623,0.07533333333333314,True,True,18,10,18,True,18,True,18,True,18,True,18
43,1,C01,optimizer-A,0.5469166666666668,1,0.0,True,1|2|7|8,4,True,0.5469166666666668,0.6157499999999998,0.06883333333333297,True,True,20,15,20,True,20,True,20,True,20,True,20
44,2,C02,optimizer-A,0.6111944444444444,1,0.0,True,2|3|8|9,4,True,0.5485000000000001,0.621416666666667,0.07291666666666685,True,True,21,15,21,True,21,True,21,True,21,True,21
45,3,C03,optimizer-A,0.5470555555555557,1,0.0,True,3|4|9|10,4,True,0.5470555555555557,0.6202222222222223,0.0731666666666666,True,True,19,13,19,True,19,True,19,True,19,True,19
46,4,C04,optimizer-A,0.6118333333333336,1,0.0,True,4|5|10|11,4,True,0.553916666666667,0.6177499999999999,0.06383333333333296,True,True,20,14,20,True,20,True,20,True,20,True,14
47,0,C00,optimizer-A,0.6166388888888888,1,0.0,True,0|5|6|11,4,True,0.5480555555555557,0.6166388888888888,0.06858333333333311,True,True,19,12,19,True,19,True,19,True,19,True,17
48,0,C00,optimizer-A,0.5488888888888892,1,0.0,True,0|1|6|7,4,True,0.5488888888888892,0.6167222222222218,0.06783333333333263,True,True,18,10,18,True,18,True,18,True,18,True,18
49,1,C01,optimizer-A,0.6092500000000001,1,0.0,True,1|2|7|8,4,True,0.5507777777777778,0.6255555555555555,0.07477777777777772,True,True,20,15,20,True,20,True,20,True,20,True,20
50,2,C02,optimizer-A,0.5475833333333335,1,0.0,True,2|3|8|9,4,True,0.5475833333333335,0.6208333333333333,0.07324999999999982,True,True,21,15,21,True,21,True,21,True,21,True,21
51,3,C03,optimizer-A,0.6108333333333337,1,0.0,True,3|4|9|10,4,True,0.5545833333333333,0.6208055555555557,0.0662222222222224,True,True,19,13,19,True,19,True,19,True,19,True,13
52,4,C04,optimizer-A,0.5525000000000001,1,0.0,True,4|5|10|11,4,True,0.5525000000000001,0.6224166666666667,0.06991666666666663,True,True,20,14,20,True,20,True,20,True,20,True,14
53,0,C00,optimizer-A,0.5583888888888892,1,0.0,True,0|5|6|11,4,True,0.5530833333333334,0.6168611111111112,0.06377777777777782,True,True,19,12,19,True,19,True,19,True,19,True,17
54,0,C00,optimizer-A,0.612361111111111,1,0.0,True,0|1|6|7,4,True,0.5473888888888887,0.6222222222222223,0.07483333333333364,True,True,18,10,18,True,18,True,18,True,18,True,10
55,1,C01,optimizer-A,0.5496388888888893,1,0.0,True,1|2|7|8,4,True,0.5496388888888893,0.6205277777777777,0.07088888888888834,True,True,20,15,20,True,20,True,20,True,20,True,20
56,2,C02,optimizer-A,0.6106666666666668,1,0.0,True,2|3|8|9,4,True,0.5516111111111112,0.6211388888888894,0.06952777777777819,True,True,21,15,21,True,21,True,21,True,21,True,21
57,3,C03,optimizer-A,0.5473333333333332,1,0.0,True,3|4|9|10,4,True,0.5473333333333332,0.6227222222222224,0.07538888888888917,True,True,19,13,19,True,19,True,19,True,19,True,19
58,4,C04,optimizer-A,0.6094722222222221,1,0.0,True,4|5|10|11,4,True,0.5481666666666668,0.6196666666666667,0.0714999999999999,True,True,20,14,20,True,20,True,20,True,20,True,20
59,0,C00,optimizer-A,0.6166666666666665,1,0.0,True,0|5|6|11,4,True,0.5535000000000001,0.6166666666666665,0.06316666666666637,True,True,19,12,19,True,19,True,19,True,19,True,17
